 W Density=19.3
  109.106209  0.0412683636  0.0288857576
  109.723099  0.0406728834  0.0287899282
  110.343475  0.0400854126  0.0286973584
  110.967354  0.0395060107  0.0286050886
  111.594772  0.0389551632  0.0285234004
  112.225731  0.0384119637  0.0284420755
  112.860252  0.0378782339  0.0283609908
  113.498367  0.0373646989  0.0282801408
  114.140099  0.036857903  0.0281995181
  114.785446  0.0363611914  0.0281191505
  115.434441  0.0358789861  0.02803904
  116.087112  0.0354030132  0.027959168
  116.743469  0.0349377319  0.0278794747
  117.403542  0.0344838835  0.0277999211
  118.067345  0.0340358168  0.0277206078
  118.734901  0.0335993618  0.0276415441
  119.406227  0.0331722423  0.0275627375
  120.081352  0.0327504724  0.0274841487
  120.7603  0.0323408209  0.0274058674
  121.443069  0.0319384038  0.0273278505
  122.129715  0.0315409377  0.0272500515
  122.820236  0.0311568379  0.0271723028
  123.514664  0.0307781734  0.0270947739
  124.213028  0.0304047205  0.0270174593
  124.915321  0.0300445613  0.026940478
  125.621613  0.0296886414  0.0268637016
  126.331871  0.0293395147  0.0267871451
  127.046158  0.029003419  0.0267107636
  127.764473  0.0286711734  0.0266346019
  128.486847  0.0283480324  0.0265557338
  129.213318  0.0280372351  0.0264723115
  129.943893  0.0277298447  0.0263891425
  130.678604  0.0274270084  0.0263010673
  131.417465  0.0271285158  0.0262087267
  132.160507  0.0268332679  0.0261167139
  132.907745  0.0265420042  0.0260251462
  133.65921  0.0262542516  0.0259339511
  134.414917  0.0259696208  0.0258430783
  135.174911  0.0256920718  0.0257524662
  135.939194  0.025418248  0.0256621614
  136.707794  0.02514733  0.0255721789
  137.480743  0.0248843674  0.0254824832
  138.258057  0.0246241763  0.0253931005
  139.039764  0.0243675467  0.0253040474
  139.825897  0.024118444  0.0252153743
  140.616486  0.0238718633  0.0251270048
  141.41153  0.0236296766  0.0250389129
  142.211075  0.0233942475  0.0249510389
  143.015137  0.0231611282  0.0248634722
  143.823746  0.0229335018  0.0247762334
  144.636932  0.0227118637  0.0246893521
  145.454712  0.0224923138  0.0246027671
  146.27713  0.0222795866  0.024516508
  147.104172  0.0220718067  0.0244305246
  147.935898  0.0218658876  0.0243448503
  148.772339  0.0216698945  0.0242594387
  149.613495  0.021478029  0.0241743196
  150.459412  0.0212877356  0.0240894966
  151.31012  0.0211117379  0.0239967294
  152.165619  0.0209381431  0.0239035916
  153.02597  0.0207658149  0.0238100812
  153.89119  0.0205951631  0.0237076841
  154.761292  0.0204257276  0.0236057322
  155.636322  0.0202578492  0.023504246
  156.516281  0.0200923532  0.0234032795
  157.401245  0.019928012  0.0233027432
  158.291183  0.0197671019  0.023202654
  159.186157  0.0196109321  0.0231029876
  160.086212  0.0194557831  0.02300377
  160.991333  0.0193079934  0.022904925
  161.901581  0.0191665236  0.0228064843
  162.816986  0.0190258007  0.0227084719
  163.737549  0.0188920498  0.0225985441
  164.66333  0.0187616721  0.0224836338
  165.59433  0.0186318476  0.0223693047
  166.530609  0.0184974801  0.022253627
  167.472183  0.0183628555  0.0221381932
  168.419067  0.0182289276  0.0220233649
  169.371307  0.0180990584  0.021909155
  170.328949  0.0179698132  0.0217955261
  171.291992  0.0178427193  0.0216824971
  172.260468  0.0177246276  0.0215700846
  173.234436  0.0176069345  0.0214582495
  174.213913  0.0174915232  0.0213405546
  175.198914  0.017380666  0.0212090537
  176.189499  0.0172700975  0.0210783612
  177.185684  0.0171544645  0.0209473632
  178.187485  0.0170330554  0.0208158828
  179.194962  0.0169122163  0.020685235
  180.208145  0.0167903434  0.0205554441
  181.227036  0.0166680757  0.020426482
  182.251694  0.0165464431  0.0202983338
  183.28215  0.0164223351  0.0201709978
  184.318436  0.0162980091  0.0200444516
  185.36058  0.0161744095  0.0199187044
  186.4086  0.0160485767  0.0198005196
  187.46257  0.015923284  0.0196835846
  188.522491  0.015799379  0.0195675809
  189.588394  0.0156831983  0.0194550101
  190.660324  0.015567638  0.0193430856
  191.738327  0.0154535053  0.0192317963
  192.822418  0.0153426407  0.0191211347
  193.912643  0.0152323171  0.0190111045
  195.009033  0.015123792  0.0189016908
  196.111618  0.0150177563  0.0187928863
  197.220444  0.0149121955  0.0186847001
  198.335526  0.0148090385  0.0185771603
  199.456909  0.014707936  0.0184702408
  200.584656  0.0146072395  0.0183639433
  201.718765  0.0145105822  0.0182582606
  202.859283  0.014415836  0.018153185
  204.006256  0.0143213887  0.018048713
  205.159714  0.014230961  0.017939778
  206.319702  0.014141418  0.0178305972
  207.486221  0.014052093  0.017722087
  208.659348  0.0139616141  0.0176131092
  209.839127  0.013871396  0.017504802
  211.025558  0.0137816677  0.0173971616
  212.218689  0.0136933886  0.0172901694
  213.418594  0.0136053525  0.017183831
  214.625259  0.0135181835  0.0170781519
  215.83876  0.0134325931  0.0169731192
  217.059113  0.0133472253  0.0168687385
  218.286362  0.0132630793  0.0167649928
  219.520569  0.0131802689  0.0166618805
  220.761734  0.0130976457  0.0165593941
  222.009933  0.013016738  0.0164575633
  223.265198  0.0129369115  0.0163563546
  224.527527  0.0128572369  0.0162557699
  225.797012  0.012779722  0.0161557849
  227.073669  0.0127029065  0.0160564072
  228.357559  0.0126262046  0.0159576386
  229.648697  0.0125522381  0.015859494
  230.947144  0.0124785425  0.0157619547
  232.252914  0.012405172  0.0156650189
  233.566071  0.0123346336  0.0155687043
  234.886658  0.0122641176  0.0154729784
  236.214706  0.0121944016  0.0153778344
  237.550278  0.0121271675  0.0152832326
  238.893402  0.0120599084  0.0151892146
  240.24411  0.0119940685  0.015095789
  241.602463  0.0119304052  0.0150029631
  242.968475  0.0118666627  0.01491071
  244.342224  0.011805011  0.0148190092
  245.72374  0.0117450375  0.0147278607
  247.113068  0.0116849244  0.0146372728
  248.510254  0.0116278818  0.0145472595
  249.915329  0.0115720052  0.0144578042
  251.328369  0.0115159247  0.0143689038
  252.749374  0.0114641925  0.0142805297
  254.178436  0.01141294  0.014192692
  255.615555  0.0113614481  0.014105401
  257.060822  0.0113162482  0.0140186688
  258.514252  0.0112706348  0.0139324684
  259.975891  0.0112264901  0.0138467941
  261.445801  0.0111914938  0.0137616191
  262.924011  0.0111558717  0.0136769665
  264.410583  0.0111251445  0.013592843
  265.905548  0.0111054853  0.0135092549
  267.408997  0.0110848648  0.0134261781
  268.920929  0.0110664004  0.0133227212
  270.441437  0.011050391  0.0131967496
  271.97049  0.0110333469  0.0130719673
  273.50824  0.0110041853  0.0129471123
  275.054657  0.0109676728  0.0128227035
  276.609833  0.0109305922  0.0126994858
  278.173767  0.0108880503  0.0125774555
  279.746582  0.0108437119  0.012456595
  281.328278  0.010799  0.0123368986
  282.918915  0.0107509019  0.0122183599
  284.518555  0.0107023073  0.0121009583
  286.127228  0.0106532853  0.0119846836
  287.744995  0.0106022665  0.0118695349
  289.371887  0.010551054  0.0117554935
  291.008026  0.0104993954  0.0116425389
  292.653381  0.010446772  0.0115306601
  294.308044  0.0103940079  0.0114198532
  295.972076  0.0103412094  0.0113101201
  297.645508  0.0102884322  0.011201459
  299.3284  0.0102355387  0.0110938391
  301.020813  0.010183231  0.0109862098
  302.722809  0.0101313675  0.0108787753
  304.434387  0.0100793904  0.0107723912
  306.15567  0.0100255571  0.0106649501
  307.886688  0.00997093972  0.0105577037
  309.627472  0.00991628133  0.0104515413
  311.378113  0.00986002479  0.0103464341
  313.138641  0.00980352517  0.0102423877
  314.909149  0.00974704046  0.0101393843
  316.689667  0.00968959462  0.0100374231
  318.480225  0.00963221397  0.00993648916
  320.280945  0.00957478583  0.00983656477
  322.091797  0.00951687992  0.00973764248
  323.912903  0.0094590662  0.00963971298
  325.744324  0.00940120313  0.00954277255
  327.58609  0.00934313238  0.0094468249
  329.438263  0.00928518269  0.00935184304
  331.300903  0.00922728516  0.00925780553
  333.174103  0.00916943606  0.00916469842
  335.057861  0.00911172573  0.00907253101
  336.952271  0.0090543339  0.00898068305
  338.857452  0.00899718329  0.00888941064
  340.773346  0.00894017704  0.0087990677
  342.700073  0.00888218638  0.00870907865
  344.637695  0.00882406626  0.00861985981
  346.586304  0.00876613148  0.00853155181
  348.545929  0.00870747119  0.00844414998
  350.516602  0.00864896551  0.00835764501
  352.498413  0.00859059021  0.00827202573
  354.491486  0.00853157323  0.00818727072
  356.495758  0.00847280398  0.00810339116
  358.511414  0.00841383915  0.00802036654
  360.538422  0.00835380703  0.00793819595
  362.576935  0.00829406176  0.00785686541
  364.626923  0.00823341496  0.00777659053
  366.688568  0.00817131344  0.0076974635
  368.76181  0.00810957421  0.007619143
  370.846802  0.0080485642  0.00754574221
  372.943573  0.00798820052  0.00747632748
  375.052216  0.00792817771  0.0074075507
  377.17276  0.00787081104  0.00733940862
  379.305298  0.00781467743  0.00727189425
  381.44989  0.00775880925  0.00720499875
  383.606628  0.00770463329  0.00713872025
  385.775543  0.00765092112  0.0070730513
  387.956757  0.00759746693  0.00700798724
  390.150269  0.00754544139  0.0069435183
  392.356171  0.00749363005  0.006879644
  394.574554  0.00744221499  0.00681635877
  396.805481  0.00739188679  0.00675366167
  399.049042  0.00734175136  0.00669153919
  401.305267  0.00729212118  0.00662998948
  403.57428  0.00724331476  0.00656900415
  405.856079  0.00719468761  0.00650857994
  408.150787  0.00714654382  0.00644870661
  410.458496  0.00709890015  0.00638937531
  412.779236  0.00705142645  0.0063305907
  415.113098  0.00700483657  0.00627330504
  417.460144  0.00695881248  0.00621708948
  419.820465  0.00691293925  0.00616137451
  422.194153  0.00686905533  0.00610630494
  424.581238  0.00682577398  0.00605176622
  426.981842  0.00678259926  0.00599771505
  429.395996  0.00674161781  0.00594413606
  431.823792  0.00670083147  0.0058910381
  434.26535  0.00666040741  0.00583841326
  436.720703  0.00662278663  0.00578626897
  439.189941  0.00658517191  0.00573459128
  441.673126  0.00654876418  0.00568337552
  444.170349  0.00651587872  0.00563261844
  446.681702  0.00648290664  0.00558231445
  449.207245  0.00645128405  0.00552920718
  451.74707  0.00642162794  0.00547188241
  454.30127  0.00639182562  0.00541515229
  456.869873  0.00636207173  0.00535577117
  459.453064  0.00633232389  0.00529451994
  462.050812  0.00630244473  0.00523396954
  464.663269  0.00626863912  0.00517212506
  467.290466  0.0062332917  0.00511022331
  469.932556  0.00619794847  0.00504906196
  472.589539  0.00616059639  0.00498859072
  475.261566  0.0061229947  0.00492883753
  477.9487  0.00608543959  0.00486979866
  480.651062  0.00604684884  0.0048114513
  483.368683  0.0060083596  0.00475380477
  486.101654  0.00596984522  0.00469685113
  488.850067  0.00593084609  0.00464059506
  491.614044  0.00589197082  0.0045850114
  494.393646  0.00585310999  0.00453011459
  497.188965  0.00581415789  0.00447591674
  500.000031  0.00577534456  0.00442236895
