 Ag Density=10.5
  52.1294975  0.0717511103  0.243423104
  52.4242401  0.0723464042  0.241592839
  52.7206459  0.0729300305  0.239776343
  53.0187302  0.0734915212  0.237973571
  53.3185005  0.0740714297  0.236183986
  53.6199646  0.0746338293  0.234407857
  53.9231339  0.0751766935  0.232645079
  54.2280159  0.0757451579  0.230895728
  54.5346184  0.0762914494  0.229159519
  54.8429642  0.0768269747  0.227436259
  55.1530457  0.0773844123  0.225725994
  55.4648819  0.0779196918  0.224028572
  55.7784805  0.078456156  0.222343877
  56.093853  0.0790118426  0.220671862
  56.4110107  0.0795451924  0.219012424
  56.7299576  0.0801094547  0.217365563
  57.0507126  0.0807011649  0.215731069
  57.3732758  0.0812695473  0.214108929
  57.6976662  0.0818842053  0.212431088
  58.0238914  0.0825094283  0.210732251
  58.3519592  0.0831103325  0.209047094
  58.6818848  0.0836632252  0.207302257
  59.0136681  0.0841879919  0.205555946
  59.3473358  0.0846904367  0.203824252
  59.682888  0.0851710364  0.202106997
  60.0203362  0.0856302083  0.200404167
  60.3596878  0.086071223  0.198715702
  60.7009659  0.0865118057  0.19704169
  61.0441742  0.0869316831  0.195381731
  61.3893127  0.0873407274  0.193735853
  61.736412  0.0877534896  0.192103982
  62.0854721  0.0881460235  0.19048582
  62.4365044  0.0885362253  0.188881189
  62.7895203  0.0889290124  0.187289938
  63.1445351  0.0893018395  0.185712039
  63.5015564  0.089682661  0.184147492
  63.8605919  0.0900626481  0.182596147
  64.2216644  0.090422824  0.181057885
  64.5847778  0.0908029154  0.179532886
  64.9499435  0.0911765024  0.17802082
  65.3171692  0.0915303081  0.17652151
  65.68647  0.0919202715  0.175035402
  66.057869  0.0922961757  0.173561797
  66.4313583  0.0926559493  0.172100723
  66.8069611  0.0930645317  0.170652196
  67.1846848  0.0934521854  0.169215843
  67.5645523  0.0938380137  0.167791501
  67.9465637  0.0942736492  0.166378811
  68.3307343  0.0946877077  0.164978042
  68.7170792  0.09512458  0.163589105
  69.1056061  0.0956167802  0.162212044
  69.4963303  0.0960859731  0.160846546
  69.8892593  0.0966696367  0.159474358
  70.2844162  0.0973558053  0.158096895
  70.6818085  0.0980144218  0.156731308
  71.0814514  0.0986255109  0.155122146
  71.483345  0.099200584  0.153404742
  71.8875122  0.0997503549  0.151706383
  72.2939682  0.100227572  0.15002656
  72.702713  0.100671455  0.148365289
  73.1137772  0.101092756  0.146722421
  73.5271683  0.101507656  0.145097956
  73.9428864  0.101900801  0.143491536
  74.3609619  0.102288947  0.141902864
  74.7814026  0.102762811  0.14033179
  75.2042236  0.10321331  0.13877809
  75.629425  0.103661232  0.137167573
  76.0570374  0.104137324  0.135393113
  76.4870682  0.104589708  0.133641616
  76.9195251  0.104980573  0.131862313
  77.3544312  0.105301313  0.130043462
  77.7917938  0.105601676  0.12824969
  78.2316284  0.105838425  0.126480758
  78.6739502  0.106027156  0.124736197
  79.118782  0.106198311  0.123015724
  79.5661163  0.106372342  0.121319093
  80.0159836  0.106535755  0.119645879
  80.4683914  0.106682137  0.117995717
  80.9233704  0.106837273  0.116298512
  81.3809128  0.106978245  0.114618339
  81.8410339  0.107102282  0.112960204
  82.303772  0.107204102  0.111289375
  82.7691116  0.107290111  0.10964334
  83.2370911  0.107363693  0.108021572
  83.7077179  0.107432805  0.106423862
  84.1809998  0.107486889  0.1048498
  84.6569672  0.107543856  0.103299022
  85.1356201  0.107616305  0.101771221
  85.6169739  0.107673623  0.100266047
  86.101059  0.107874557  0.0987829939
  86.5878754  0.108202204  0.0973217934
  87.077446  0.10850893  0.0958821774
  87.5697861  0.108801857  0.0941619128
  88.0649033  0.109077774  0.0923293531
  88.5628204  0.109333836  0.0905324891
  89.0635605  0.109428816  0.0887150541
  89.5671234  0.109478883  0.0869228393
  90.0735397  0.109514065  0.0851668492
  90.5828171  0.109515302  0.083446227
  91.0949783  0.109502397  0.0817603394
  91.6100235  0.109531872  0.0801086128
  92.1279907  0.109896548  0.0784901083
  92.6488876  0.110239424  0.0769042522
  93.1727219  0.110581964  0.0751452968
  93.6995316  0.110954843  0.0729394108
  94.2293091  0.111305229  0.0707985237
  94.7620773  0.111446701  0.0685442388
  95.2978668  0.111340143  0.0661496744
  95.8366852  0.111221947  0.0638387725
  96.3785477  0.111151055  0.0615605153
  96.9234772  0.111106522  0.0593325458
  97.4714813  0.111049041  0.0571852215
  98.0225906  0.110586032  0.054384362
  98.5768127  0.109992296  0.0514950529
  99.1341629  0.109397992  0.0487592518
  99.6946716  0.108270653  0.0461687893
  100.258347  0.107101284  0.0437159576
  100.825211  0.105928436  0.0413934253
  101.395279  0.104527779  0.0391941592
  101.968567  0.103145242  0.0371117592
  102.545097  0.101745896  0.0351401046
  103.124893  0.100240968  0.0332735591
  103.707962  0.0987570286  0.0315062813
  104.294327  0.0972655118  0.0298325513
  104.884018  0.0957474783  0.0282473881
  105.477036  0.0942512602  0.0267464649
  106.073395  0.0927511156  0.0253084973
  106.673141  0.0912499502  0.0239334535
  107.276276  0.0897707716  0.0226331167
  107.88282  0.0882584751  0.0213538408
  108.49279  0.0867431089  0.0201247334
  109.106209  0.085250631  0.0189663749
  109.723099  0.0837227777  0.0178746153
  110.343475  0.0822069868  0.0168456864
  110.967354  0.0807146728  0.0158759896
  111.594772  0.079216674  0.0149622913
  112.225731  0.0777417868  0.0141011821
  112.860252  0.076287128  0.0132896276
  113.498367  0.074838087  0.0125247519
  114.140099  0.0734119266  0.0118038952
  114.785446  0.0719939545  0.0111245839
  115.434441  0.0705647394  0.0104845259
  116.087112  0.0691584647  0.00988125242
  116.743469  0.0677677765  0.00934974756
  117.403542  0.0663910061  0.00888997409
  118.067345  0.0650365949  0.00845281035
  118.734901  0.0637514293  0.00809230004
  119.406227  0.062517494  0.00778193073
  120.081352  0.0613032021  0.00748346327
  120.7603  0.0601542927  0.00719644828
  121.443069  0.0590379611  0.00692044571
  122.129715  0.0579390824  0.00665502669
  122.820236  0.0568817332  0.00639975723
  123.514664  0.0558431223  0.0061542769
  124.213028  0.0548212677  0.00591821596
  124.915321  0.0538240001  0.00569127966
  125.621613  0.0528421775  0.00547304284
  126.331871  0.0518775396  0.00526888808
  127.046158  0.0509345308  0.00509184133
  127.764473  0.0500061512  0.00492074434
  128.486847  0.0491002984  0.00475851307
  129.213318  0.0482217073  0.00460661855
  129.943893  0.0473566428  0.00445957296
  130.678604  0.0465012118  0.00431722822
  131.417465  0.0456557497  0.00417943392
  132.160507  0.0448234081  0.00404603686
  132.907745  0.0440081023  0.00394732691
  133.65921  0.0432073325  0.00386489113
  134.414917  0.0424189903  0.00378417759
  135.174911  0.0416681431  0.00370907434
  135.939194  0.0409336388  0.00363620813
  136.707794  0.0402103662  0.00356477289
  137.480743  0.0395023935  0.00350796827
  138.258057  0.0388052799  0.00345217437
  139.039764  0.0381198674  0.00339871272
  139.825897  0.0374509133  0.00335437665
  140.616486  0.0367921628  0.00331061869
  141.41153  0.0361466929  0.00327556813
  142.211075  0.0355184264  0.00325968256
  143.015137  0.0348997042  0.00324387429
  143.823746  0.0343005098  0.00322741992
  144.636932  0.0337223411  0.00321018812
  145.454712  0.0331528299  0.00319304806
  146.27713  0.0325912423  0.00317512685
  147.104172  0.0320377499  0.00315674604
  147.935898  0.0314925574  0.00313847256
  148.772339  0.0309531949  0.00313733984
  149.613495  0.0304212533  0.00314152893
  150.459412  0.0298973434  0.00314572314
  151.31012  0.0293962657  0.00315881637
  152.165619  0.0289040133  0.00317277666
  153.02597  0.0284198411  0.00318679563
  153.89119  0.0279523898  0.00320084556
  154.761292  0.0274918489  0.00321495743
  155.636322  0.0270379465  0.00322913565
  156.516281  0.0265901908  0.0032433921
  157.401245  0.026149068  0.00325771002
  158.291183  0.0257129427  0.00328061357
  159.186157  0.025280796  0.00331775611
  160.086212  0.0248550773  0.00335533102
  160.991333  0.0244471952  0.00340107502
  161.901581  0.0240551736  0.00345431408
  162.816986  0.0236688685  0.00350838667
  163.737549  0.0233052298  0.00356303388
  164.66333  0.022954382  0.00361840636
  165.59433  0.0226084739  0.00367464032
  166.530609  0.0222820882  0.00372308772
  167.472183  0.0219629016  0.00377052813
  168.419067  0.0216480773  0.00381857366
  169.371307  0.0213568639  0.00386626646
  170.328949  0.0210695118  0.00391455041
  171.291992  0.0207880419  0.00395893306
  172.260468  0.0205219872  0.0039783367
  173.234436  0.0202592816  0.00399783487
  174.213913  0.0199984517  0.0040174406
  175.198914  0.0197376981  0.00403717021
  176.189499  0.0194802769  0.0040569962
  177.185684  0.019231433  0.00407690462
  178.187485  0.0189918727  0.00409688847
  179.194962  0.0187552646  0.0041169757
  180.208145  0.0185273327  0.00412289985
  181.227036  0.018305758  0.00411984697
  182.251694  0.018086819  0.00411679875
  183.28215  0.0178652611  0.00411269115
  184.318436  0.0176448263  0.00410826458
  185.36058  0.0174270924  0.00410384405
  186.4086  0.0172156859  0.00409941003
  187.46257  0.017007133  0.00409497926
  188.522491  0.0168014579  0.00409008982
  189.588394  0.0166026745  0.00407956075
  190.660324  0.0164062344  0.00406905822
  191.738327  0.0162116196  0.00405684346
  192.822418  0.0160176996  0.00403889315
  193.912643  0.0158260874  0.004021022
  195.009033  0.015636269  0.00400293665
  196.111618  0.0154479425  0.0039844648
  197.220444  0.0152618736  0.00396607816
  198.335526  0.01507755  0.00394556019
  199.456909  0.0148950322  0.00392326061
  200.584656  0.0147147067  0.00390108814
  201.718765  0.014535103  0.00387904048
  202.859283  0.0143570434  0.00385711621
  204.006256  0.0141811473  0.00383531628
  205.159714  0.0140067935  0.00381363533
  206.319702  0.0138344597  0.00379207474
  207.486221  0.0136642316  0.00377063779
  208.659348  0.0134957805  0.00374933635
  209.839127  0.0133293867  0.00372815435
  211.025558  0.013165026  0.00370709039
  212.218689  0.0130026555  0.00368613447
  213.418594  0.0128422687  0.0036652952
  214.625259  0.0126838936  0.00364457653
  215.83876  0.0125275543  0.00362397823
  217.059113  0.012373127  0.00360349636
  218.286362  0.0122207142  0.00358313159
  219.520569  0.0120703019  0.00356288324
  220.761734  0.0119217308  0.00354274805
  222.009933  0.0117752394  0.00352272531
  223.265198  0.011630699  0.00350281061
  224.527527  0.0114879236  0.00348300859
  225.797012  0.0113474214  0.00346332625
  227.073669  0.011208781  0.00344375684
  228.357559  0.0110718235  0.00342429802
  229.648697  0.0109374253  0.00340494374
  230.947144  0.0108047212  0.00338569842
  232.252914  0.0106739076  0.00336656184
  233.566071  0.0105479239  0.00334753445
  234.886658  0.0104234237  0.00332861417
  236.214706  0.010301183  0.00330825266
  237.550278  0.010182933  0.00328300823
  238.893402  0.0100660399  0.00325795636
  240.24411  0.0099481307  0.00323208654
  241.602463  0.00982794911  0.00320485374
  242.968475  0.009709212  0.00317785074
  244.342224  0.00959104765  0.00315107638
  245.72374  0.00947360229  0.0031245281
  247.113068  0.00935758557  0.0030982038
  248.510254  0.009242272  0.00307210092
  249.915329  0.00912806578  0.00304621691
  251.328369  0.00901525747  0.00302055129
  252.749374  0.00890343823  0.0029951015
  254.178436  0.0087929219  0.00296986522
  255.615555  0.00868376903  0.00294483174
  257.060822  0.00857608113  0.0029182788
  258.514252  0.00846971851  0.00289196451
  259.975891  0.00836429838  0.00286575733
  261.445801  0.00825829431  0.0028391073
  262.924011  0.00815361645  0.00281270547
  264.410583  0.00804988295  0.00278654834
  265.905548  0.00794666633  0.00276063359
  267.408997  0.0078447517  0.00273495982
  268.920929  0.00774389273  0.00270952424
  270.441437  0.00764405075  0.00268432382
  271.97049  0.00754547771  0.00265935902
  273.50824  0.00744890608  0.00263459655
  275.054657  0.0073540071  0.00261004805
  276.609833  0.00726029836  0.00258572795
  278.173767  0.00716680009  0.0025556297
  279.746582  0.0070742094  0.00252418639
  281.328278  0.00698279496  0.00249312958
  282.918915  0.0068873344  0.00246245856
  284.518555  0.00679275673  0.0024321645
  286.127228  0.00669915695  0.00240224344
  287.744995  0.00660387101  0.00237268792
  289.371887  0.00650988054  0.00234349631
  291.008026  0.00641650194  0.00231465744
  292.653381  0.00632231683  0.00228615641
  294.308044  0.00622943696  0.00225800602
  295.972076  0.00613683043  0.00223019347
  297.645508  0.00604397664  0.00220271037
  299.3284  0.00595243368  0.00217556604
  301.020813  0.00586143276  0.00214875466
  302.722809  0.0057711117  0.00212227297
  304.434387  0.00568208005  0.00209611817
  306.15567  0.00559282349  0.00206674286
  307.886688  0.00550422817  0.00203630445
  309.627472  0.00541691948  0.00200631469
  311.378113  0.00532373181  0.00197567442
  313.138641  0.00523076998  0.00194532203
  314.909149  0.00513914833  0.00191545754
  316.689667  0.00504208682  0.00188804243
  318.480225  0.00494655734  0.00186101976
  320.280945  0.00485227583  0.00183468801
  322.091797  0.00475819409  0.00181025092
  323.912903  0.00466561131  0.00178613863
  325.744324  0.00457378244  0.00176062912
  327.58609  0.00448190188  0.00173188164
  329.438263  0.00439150678  0.00170360331
  331.300903  0.00429453701  0.00167478144
  333.174103  0.00419034436  0.00164534699
  335.057861  0.00408794964  0.00161643059
  336.952271  0.00397923309  0.00159293751
  338.857452  0.00386769418  0.00157266483
  340.773346  0.00375815784  0.00155265082
  342.700073  0.00364854722  0.00154060905
  344.637695  0.00354035269  0.00153079885
  346.586304  0.0034341251  0.00152105116
  348.545929  0.00332131214  0.00151086634
  350.516602  0.00321002258  0.00150071608
  352.498413  0.00310009927  0.00149152894
  354.491486  0.00298513216  0.00149139261
  356.495758  0.00287235505  0.00149125699
  358.511414  0.00275941938  0.00149279064
  360.538422  0.00264160288  0.0014994957
  362.576935  0.00252608163  0.00150623091
  364.626923  0.00240872195  0.00151398231
  366.688568  0.00228756806  0.00152326853
  368.76181  0.00216882909  0.0015326126
  370.846802  0.00204278901  0.00154896837
  372.943573  0.00191157532  0.00157119869
  375.052216  0.00178304734  0.00159374834
  377.17276  0.00163350522  0.00163586554
  379.305298  0.00147740846  0.00168734288
  381.44989  0.00132461847  0.00174043351
  383.606628  0.00118246058  0.00181768322
  385.775543  0.00104450213  0.0019021678
  387.956757  0.000909685332  0.0019912417
  390.150269  0.000790454156  0.00212723762
  392.356171  0.000673773291  0.00227253698
  394.574554  0.000567334646  0.00242535491
  396.805481  0.000500559865  0.00257592532
  399.049042  0.000435211201  0.00273584342
  401.305267  0.000391742768  0.00289563113
  403.57428  0.000391456037  0.00304264808
  405.856079  0.000391126552  0.00319713028
  408.150787  0.000399885117  0.00334273092
  410.458496  0.000418252748  0.00347597315
  412.779236  0.000436158181  0.00361452647
  415.113098  0.000474750879  0.00373655837
  417.460144  0.000524559116  0.00384954363
  419.820465  0.000573190628  0.00396594405
  422.194153  0.000654354866  0.00404879311
  424.581238  0.000742663105  0.00412316527
  426.981842  0.000828908698  0.00419890508
  429.395996  0.00090699736  0.00424753269
  431.823792  0.000982858357  0.00429493003
  434.26535  0.00105634914  0.00433928473
  436.720703  0.0011228621  0.00434999866
  439.189941  0.00118775037  0.00436074007
  441.673126  0.00124960241  0.0043715057
  444.170349  0.0013056366  0.00438229181
  446.681702  0.00136025704  0.00439310353
  449.207245  0.0014124338  0.00439821836
  451.74707  0.00146172906  0.00439488376
  454.30127  0.00150974118  0.00439155102
  456.869873  0.00155462802  0.00438795658
  459.453064  0.00159685698  0.00438415259
  462.050812  0.00163794414  0.00438035419
  464.663269  0.00168071815  0.00437656511
  467.290466  0.00172345154  0.00437278347
  469.932556  0.00176501519  0.0043690037
  472.589539  0.00180753099  0.00435473816
  475.261566  0.00184918661  0.00433890522
  477.9487  0.00188973558  0.0043231165
  480.651062  0.00193150295  0.0043066619
  483.368683  0.00197209651  0.00429027062
  486.101654  0.00201118551  0.0042711189
  488.850067  0.00204750965  0.00423880061
  491.614044  0.00208276627  0.00420672679
  494.393646  0.00211473554  0.00417468837
  497.188965  0.0021412049  0.00414247625
  500.000031  0.00216681533  0.00411051279
